date,demand,is_holiday,is_promotion,day_of_week,month,weather_impact
2024-01-01,511,1,0,0,1,0.9171681205063269
2024-01-02,395,0,0,1,1,0.8555461855075754
2024-01-03,386,0,0,2,1,0.9745412966614733
2024-01-04,417,0,0,3,1,0.9690526741972536
2024-01-05,558,0,0,4,1,1.0578428725156255
2024-01-06,300,0,0,5,1,0.9269443099427623
2024-01-07,344,0,0,6,1,1.0540964338032657
2024-01-08,488,0,0,0,1,1.091993441359956
2024-01-09,360,0,0,1,1,0.8721020558414116
2024-01-10,433,0,0,2,1,1.0479544598674082
2024-01-11,586,0,1,3,1,0.9974889742844091
2024-01-12,494,0,0,4,1,0.9700114917546188
2024-01-13,333,0,0,5,1,0.9551339446662688
2024-01-14,313,0,0,6,1,1.0461670659860776
2024-01-15,600,1,0,0,1,1.0098403392435606
2024-01-16,530,0,0,1,1,1.0512611668798406
2024-01-17,553,0,0,2,1,1.0757877646691567
2024-01-18,501,0,0,3,1,1.004315928024323
2024-01-19,558,0,0,4,1,1.0951156812730947
2024-01-20,347,0,0,5,1,1.0020219623854714
2024-01-21,317,0,0,6,1,1.0091610804055706
2024-01-22,471,0,0,0,1,0.9887039021355565
2024-01-23,435,0,0,1,1,0.8727505227628326
2024-01-24,533,0,0,2,1,1.031599258162557
2024-01-25,522,0,0,3,1,0.9868615767247779
2024-01-26,477,0,0,4,1,0.9627276118540261
2024-01-27,452,0,0,5,1,1.0776178196008184
2024-01-28,320,0,0,6,1,0.9244898628854876
2024-01-29,453,0,0,0,1,0.9809005690037529
2024-01-30,561,0,0,1,1,1.0244104678733659
2024-01-31,568,0,0,2,1,1.0491179439184695
2024-02-01,429,0,0,3,2,0.9648367019865431
2024-02-02,622,0,0,4,2,1.0605228537546774
2024-02-03,517,0,1,5,2,1.0422294353288495
2024-02-04,334,0,0,6,2,0.8665589944629665
2024-02-05,396,0,0,0,2,0.8614653166011582
2024-02-06,488,0,0,1,2,1.005201421105523
2024-02-07,383,0,0,2,2,0.9368533520563536
2024-02-08,446,0,0,3,2,0.9022826977696285
2024-02-09,675,0,1,4,2,0.9949124836179346
2024-02-10,334,0,0,5,2,0.9353908026141363
2024-02-11,324,0,0,6,2,0.9843158541785175
2024-02-12,422,0,0,0,2,0.965029789745893
2024-02-13,559,0,0,1,2,0.9961915264872885
2024-02-14,595,1,0,2,2,0.9500751222275704
2024-02-15,620,0,0,3,2,1.024416893424233
2024-02-16,477,0,0,4,2,0.8950168180873246
2024-02-17,370,0,0,5,2,1.0241253665567698
2024-02-18,314,0,0,6,2,0.952915303589382
2024-02-19,618,1,0,0,2,1.0685794012136043
2024-02-20,535,0,0,1,2,0.9788090137160528
